errors_ave,wave0,wave1,wave2,wave3,wave4,wave5,wave6,wave7,wave8,wave9,wave10,wave11,wave12,wave13,wave14,wave15,wave16,wave17,wave18,wave19,wave20,wave21,wave22,wave23
0.01030794,0.008987065,0.014796146,0.00876443,0.012823848,0.009034307,0.010589088,0.008992465,0.009442325,0.010617186,0.009663536,0.013996042,0.009310912,0.009289385,0.009261887,0.0086067,0.009900024,0.008781597,0.008868013,0.009179506,0.015749332,0.012238093,0.008908105,0.008718673,0.010871899
0.010147537,0.013508097,0.009597439,0.011659281,0.013848,0.009362567,0.008836231,0.009224023,0.010608232,0.007805314,0.011555702,0.00796862,0.008909815,0.00892039,0.009092178,0.012410591,0.012179212,0.009062862,0.008696604,0.012495376,0.009895813,0.008977392,0.009270278,0.010704815,0.008952044
0.009400656,0.008714431,0.009765936,0.008781369,0.010820883,0.008896773,0.008974606,0.008645673,0.00833714,0.009507558,0.01011875,0.009359632,0.008010555,0.00898598,0.010041396,0.008220816,0.011580158,0.008607823,0.008824505,0.009518457,0.013794501,0.008542178,0.00971099,0.009756794,0.008098836
0.012060217,0.013799269,0.013142123,0.010708414,0.009861214,0.010285501,0.010724159,0.01095742,0.013887489,0.016547157,0.016675334,0.011795166,0.010611775,0.011493601,0.01222501,0.010319794,0.013338979,0.009698545,0.012309556,0.012324581,0.012464993,0.010059624,0.011294038,0.013470359,0.011451096
0.009956243,0.008586436,0.009228337,0.013474963,0.008455196,0.008702923,0.009985184,0.008894231,0.009078974,0.013754157,0.008835437,0.008788267,0.008603711,0.011084537,0.012907528,0.0089764,0.009517162,0.00942137,0.009465787,0.009284148,0.009951375,0.009694158,0.012229362,0.009429514,0.010600669
0.010400679,0.009895838,0.010420114,0.010441404,0.007992637,0.007990799,0.00925676,0.010015759,0.013533871,0.009897405,0.015423157,0.01113076,0.008267947,0.010043801,0.012127273,0.008776516,0.011565633,0.008511601,0.009921787,0.011074471,0.011989179,0.008242447,0.008745739,0.013501865,0.010849524
0.010691821,0.009988574,0.009051778,0.011437451,0.009093508,0.008741661,0.010247452,0.009292221,0.010787975,0.011501461,0.01010151,0.010261063,0.009837416,0.011273928,0.011273552,0.009852303,0.010813665,0.010801988,0.011128061,0.01180933,0.014555986,0.011764185,0.011613846,0.010620738,0.010754064
0.012511878,0.015834124,0.011205477,0.008489444,0.007922904,0.011770044,0.010097184,0.009497824,0.016875354,0.014365098,0.012574813,0.011993714,0.013031983,0.010998732,0.013599729,0.014257412,0.01105188,0.012446315,0.012385507,0.013762755,0.013932155,0.014968672,0.014601877,0.012372216,0.012249864
0.01706239,0.029928207,0.028115403,0.011275838,0.01145043,0.018043402,0.014859285,0.013086008,0.020334112,0.016474181,0.014007126,0.017528901,0.018762641,0.015681666,0.013897366,0.019844043,0.013685521,0.014069537,0.014253462,0.015988708,0.018774472,0.016260086,0.016522077,0.015784131,0.02087075
0.009768066,0.010847724,0.010169615,0.009288375,0.009300007,0.011039464,0.009887342,0.009440395,0.010500577,0.008417378,0.010068057,0.008838979,0.012175148,0.009198816,0.00946859,0.00958114,0.008689828,0.00821907,0.010314066,0.008297071,0.009658659,0.010290901,0.009260646,0.008795853,0.012685875
0.008902934,0.008689467,0.009049784,0.008060553,0.007828627,0.00799343,0.008393155,0.008640173,0.010058331,0.009193823,0.008490676,0.009835587,0.007675697,0.009833064,0.008154635,0.009156953,0.008539726,0.008482947,0.009393535,0.009490262,0.009827931,0.009230708,0.009013954,0.009006356,0.009631038
0.012410462,0.014296817,0.01338064,0.012888159,0.009068345,0.01706446,0.017227107,0.008553258,0.011858857,0.009521333,0.008756955,0.010296621,0.008158874,0.007937081,0.012853209,0.010331753,0.012193882,0.017788983,0.011212809,0.018260735,0.009543464,0.008628539,0.010561547,0.017107377,0.020360281
0.013780804,0.012206729,0.010688589,0.012260411,0.012517337,0.024242998,0.01083915,0.019883952,0.024293416,0.009733693,0.010972552,0.012690745,0.011950368,0.015704764,0.012481094,0.010473038,0.013306581,0.009519,0.017047274,0.020978553,0.013987253,0.01265282,0.009733993,0.012987652,0.009587341
0.01259952,0.012515391,0.014857992,0.012625837,0.012054379,0.012069249,0.015011236,0.012414068,0.012329946,0.011693008,0.011277777,0.011997253,0.011403433,0.012177737,0.01331929,0.013243039,0.013328228,0.01213285,0.012610043,0.012812649,0.013064196,0.013598938,0.012364264,0.012157913,0.011329762
0.013085191,0.016317115,0.014761454,0.01335736,0.015063789,0.009417161,0.01205983,0.012461193,0.015792371,0.012200996,0.011140715,0.012947342,0.012588559,0.013580456,0.013135214,0.015299386,0.012512162,0.012329241,0.013160523,0.01282504,0.011624008,0.013758327,0.012323409,0.013800599,0.011588335
0.009582332,0.009191687,0.013073008,0.011211763,0.00925859,0.009400547,0.009170448,0.00873036,0.009323258,0.008817827,0.009452231,0.009735737,0.008752706,0.008581961,0.008594636,0.009410731,0.008727016,0.009377048,0.009029838,0.012804981,0.009537118,0.00922959,0.00929624,0.008209839,0.0110588
0.010412085,0.010076196,0.00940701,0.011020349,0.01094515,0.010951061,0.010920684,0.011276775,0.01021692,0.01061848,0.011248041,0.010437718,0.009685378,0.009994288,0.009433863,0.010506487,0.011176996,0.009742168,0.009669885,0.010889835,0.01024807,0.009208786,0.010019373,0.010890592,0.01130593
0.008414783,0.007198842,0.008704187,0.008347955,0.01163294,0.0078535,0.007572494,0.008105918,0.008480949,0.009094042,0.007680229,0.00888091,0.008178708,0.007338062,0.008296568,0.009028249,0.00738047,0.011687708,0.009893391,0.008023551,0.007745744,0.006803405,0.008409865,0.007845104,0.007771999
0.008878732,0.008673681,0.008927768,0.010347762,0.008326109,0.009090234,0.009862013,0.008687676,0.008471657,0.009592916,0.008307655,0.009750621,0.008556337,0.009401575,0.008356703,0.008608693,0.008456978,0.008232415,0.008656074,0.008742625,0.009906708,0.008467192,0.008883905,0.008124126,0.008658151
