theta_average,wave0,wave1,wave2,wave3,wave4,wave5,wave6,wave7,wave8,wave9,wave10,wave11,wave12,wave13,wave14,wave15,wave16,wave17,wave18,wave19,wave20,wave21,wave22,wave23,wave24,wave25,wave26,wave27,wave28,wave29,wave30,wave31,wave32,wave33,wave34,wave35,wave36,wave37,wave38,wave39
0.030111395,0.011779472,0.06133689,0.007823794,0.059132787,0.006322475,0.048900196,0.011322894,0.009195672,0.05117759,0.027136151,0.05706654,0.011422865,0.015589969,0.039059072,0.0068326,0.033786372,0.007510638,0.01070963,0.027976353,0.063217749,0.058667459,0.016474235,0.02503388,0.046298155,0.05831181,0.038146497,0.01499155,0.056386128,0.0129341,0.006359182,0.025757062,0.046331925,0.062597106,0.021151296,0.028478138,0.022767789,0.013108096,0.020615532,0.007419816,0.055326342
0.029043686,0.055670897,0.015428076,0.043234899,0.065490416,0.022502698,0.004345745,0.004975933,0.038606236,0.010501321,0.04157828,0.004579795,0.023317317,0.023257709,0.022928309,0.040362131,0.060528662,0.012626212,0.022912107,0.065500482,0.030354161,0.024177757,0.023509827,0.046451631,0.023831891,0.012836741,0.018222634,0.065147631,0.018576943,0.021415038,0.041662469,0.014909012,0.024556785,0.022334953,0.053374822,0.044206484,0.002716751,0.003145926,0.064515832,0.024402793,0.003050123
0.026169295,0.003566428,0.043348262,0.010615327,0.048557733,0.012808648,0.023941183,0.012461195,0.003570101,0.045485141,0.051651956,0.004636083,0.017577622,0.003597172,0.052766198,0.004022723,0.055015804,0.033387145,0.009893671,0.038080638,0.065309061,0.005362591,0.038247264,0.035023018,0.004128933,0.0055372,0.027538184,0.039007437,0.017317628,0.008782802,0.004639118,0.004229818,0.06212342,0.003299978,0.060729959,0.045346063,0.041088974,0.028507791,0.034644842,0.004826968,0.036097735
0.021277824,0.051337693,0.010468377,0.026118558,0.017932888,0.012092449,0.02927196,0.026359902,0.016674317,0.054134346,0.009755627,0.011396918,0.010518119,0.013038928,0.0118636,0.012238811,0.036344956,0.009977904,0.042952839,0.010555097,0.011298431,0.012145636,0.031146754,0.044344943,0.012687071,0.030403906,0.012201881,0.059726255,0.055572343,0.010008306,0.019193384,0.011391828,0.012297865,0.019062664,0.023926039,0.012895946,0.011857302,0.009098356,0.019685322,0.008711574,0.010423877
0.017384299,0.013749318,0.004831237,0.049345908,0.005284769,0.004665367,0.014758385,0.01046929,0.004343,0.051296116,0.008349161,0.012918132,0.010289758,0.028520211,0.034443664,0.009420348,0.002259391,0.007164303,0.00530305,0.007274138,0.009819845,0.011294259,0.038397028,0.01099938,0.031319756,0.012495292,0.049578617,0.004786449,0.027717867,0.039183775,0.005433369,0.033080207,0.032738523,0.019027313,0.020892427,0.018564763,0.011577752,0.007291301,0.003678443,0.008132461,0.014677582
0.016435569,0.014847529,0.004195901,0.009024593,0.009414903,0.009565632,0.007136008,0.017215854,0.035712109,0.018520316,0.043298746,0.035276754,0.00779388,0.012289905,0.018749405,0.012848157,0.014030375,0.00474572,0.011595269,0.012373106,0.019808604,0.016451382,0.013908731,0.040017574,0.016378657,0.013536515,0.013490782,0.002907322,0.024225214,0.013423984,0.034560612,0.005520103,0.01634161,0.014156518,0.009816303,0.01171329,0.013392972,0.010934948,0.007990461,0.029793993,0.030419029
0.01615871,0.028545427,0.010263312,0.00796124,0.006763988,0.010312404,0.013787578,0.007750959,0.038338241,0.014288189,0.009397875,0.007485706,0.017978735,0.014632585,0.016834432,0.016232525,0.013980462,0.010677266,0.007678821,0.01383903,0.04778354,0.01934932,0.009618781,0.034766506,0.009155042,0.022427702,0.046431105,0.038805537,0.012060044,0.007746718,0.008129594,0.014667995,0.022170775,0.008801849,0.011870199,0.009293989,0.010786457,0.008622226,0.012019164,0.017735372,0.007357698
0.022402265,0.020568277,0.018181359,0.011246264,0.017555231,0.009708172,0.026966697,0.020114663,0.011182257,0.03387742,0.014595032,0.016057031,0.007463409,0.021678921,0.053236143,0.035299693,0.022277492,0.028719557,0.030120598,0.01808979,0.017518248,0.019109508,0.021367051,0.010035233,0.035481573,0.034927973,0.009844197,0.01125491,0.044582586,0.047447787,0.009831517,0.015377898,0.00875967,0.030455639,0.018144001,0.018405643,0.024644934,0.028168552,0.03529427,0.022288867,0.016212551
0.021223374,0.01202322,0.011970082,0.010942273,0.019804736,0.007203001,0.007218032,0.049287951,0.049314917,0.027136297,0.020048746,0.007494989,0.007673275,0.00817095,0.0107786,0.055044223,0.023972676,0.011048298,0.010097399,0.02398389,0.008299216,0.021440723,0.030672114,0.030654293,0.053124035,0.032929237,0.023069417,0.007561046,0.022755986,0.025565528,0.00880776,0.026939275,0.023263063,0.010841034,0.009691185,0.02339914,0.03064536,0.042880024,0.02159041,0.005590503,0.016002037
0.014369637,0.005735552,0.013730028,0.007304823,0.006740639,0.003458411,0.003905624,0.036343272,0.00530746,0.021983248,0.005114104,0.004008602,0.047716935,0.003272089,0.006231787,0.014821803,0.005124018,0.011261023,0.031353251,0.00485423,0.004045774,0.003717707,0.005824419,0.01683045,0.05677999,0.023406319,0.004306711,0.009147126,0.011882747,0.007004518,0.005548007,0.017865425,0.004209348,0.024757512,0.006070939,0.047435804,0.018581166,0.005143084,0.019809358,0.023265228,0.02088696
0.010160733,0.008979834,0.001724961,0.007102307,0.002215734,0.007025898,0.00722535,0.008470891,0.004595072,0.008288833,0.013060554,0.022280008,0.002623632,0.026327473,0.004949986,0.006840333,0.00479734,0.009122987,0.007373967,0.007141662,0.002996441,0.001435451,0.008113986,0.018295769,0.007960816,0.006543624,0.008465921,0.008599814,0.008575192,0.028519889,0.006828666,0.011980594,0.026267692,0.012118645,0.004575212,0.012788315,0.030754933,0.00337254,0.007222741,0.002359245,0.028507006
0.016281482,0.019434388,0.02002858,0.019044961,0.012180757,0.021506671,0.02192691,0.011898806,0.01355676,0.009912465,0.010809616,0.008619554,0.012341825,0.010956712,0.022584127,0.013850117,0.017139926,0.023089885,0.01369741,0.02396682,0.01025993,0.012976417,0.013104065,0.021939575,0.029924975,0.018196081,0.013498084,0.011475661,0.011166263,0.012100808,0.01610327,0.012047781,0.025558227,0.014297473,0.010159975,0.027421651,0.014153266,0.009672943,0.028381791,0.020860055,0.011414709
0.021665136,0.010954013,0.014757366,0.008308701,0.030040624,0.042432693,0.004540825,0.039110039,0.045090164,0.005773021,0.015306692,0.026444592,0.026687047,0.03756902,0.027629071,0.015215388,0.031484402,0.007577346,0.033321718,0.039999362,0.025079292,0.011383023,0.005568787,0.028981008,0.009015286,0.005367074,0.013971148,0.021496191,0.021459386,0.00236779,0.038836668,0.042879895,0.015781898,0.011151918,0.012302005,0.043886113,0.033592965,0.0075663,0.034830407,0.008001013,0.010845197
0.021807296,0.015466771,0.015498075,0.012378825,0.027038618,0.018422115,0.020996589,0.039398814,0.040318073,0.035529549,0.019377769,0.042164387,0.014096492,0.042081823,0.009705802,0.007322841,0.039181911,0.009825754,0.029273952,0.003024781,0.045892199,0.020116712,0.030292033,0.04107615,0.008960483,0.014603449,0.031024411,0.012781753,0.014220179,0.006196015,0.020425372,0.006384227,0.010114735,0.050723153,0.041519003,0.011153755,0.026319943,0.003204166,0.007732459,0.01737608,0.01107263
0.023725568,0.033802571,0.026093366,0.013091977,0.02711012,0.024596161,0.027396087,0.016998857,0.025816315,0.033674622,0.025074642,0.026664805,0.012145108,0.024863555,0.021100751,0.021080075,0.02519418,0.028242905,0.015348078,0.027308117,0.028039016,0.017206231,0.012378708,0.015954518,0.030430147,0.027310188,0.030510389,0.02541533,0.028519762,0.016782913,0.026520335,0.01376234,0.012570615,0.035130295,0.02834293,0.027843553,0.02560583,0.028499594,0.015834734,0.033368751,0.013394251
0.024328403,0.012476424,0.04267006,0.037615639,0.018760981,0.020547771,0.020680705,0.021137473,0.020534284,0.022704474,0.014842854,0.014801401,0.01530644,0.022601825,0.014934869,0.02027489,0.017415241,0.034661032,0.01747776,0.048665683,0.015107774,0.020485467,0.01544888,0.016145621,0.038352048,0.014570556,0.01643354,0.014798685,0.023822654,0.050164627,0.030764432,0.050807786,0.017390347,0.015210118,0.021377942,0.044796462,0.038088579,0.016342342,0.015133348,0.014841594,0.044943511
0.030608217,0.031865024,0.027154971,0.025165718,0.02847851,0.03419856,0.026969797,0.028278584,0.035234792,0.026254127,0.039563065,0.02591822,0.028462992,0.034238523,0.028984965,0.026411749,0.0266024,0.027253253,0.027132559,0.030799227,0.030210501,0.030148101,0.044040639,0.032240647,0.029251684,0.029359878,0.025919007,0.034012173,0.0336883,0.032413282,0.028415788,0.025205577,0.025953849,0.034274661,0.034936764,0.032960753,0.034138642,0.028542702,0.029411125,0.03151045,0.038727107
0.020652655,0.012119904,0.00977198,0.010232279,0.047413533,0.016735837,0.012132746,0.015416613,0.010910878,0.009659494,0.009949429,0.015966182,0.010741079,0.013425383,0.032742459,0.011571421,0.022556535,0.049659124,0.048675607,0.015996693,0.012105024,0.018435491,0.040590153,0.026096318,0.014878788,0.017676586,0.053978308,0.015670913,0.01632876,0.011247475,0.029903871,0.052977496,0.010577513,0.012880648,0.018406821,0.013174439,0.015477663,0.011650088,0.011553055,0.011473746,0.035345868
0.024932016,0.028727114,0.034162603,0.042229114,0.020025963,0.028885665,0.040174223,0.019088951,0.025407654,0.023197739,0.024671582,0.021771151,0.017416672,0.026873031,0.017422594,0.02246194,0.017974218,0.024935437,0.027246255,0.018093083,0.028713168,0.021592425,0.028474389,0.018590089,0.023131233,0.029606505,0.017612572,0.018093211,0.028716894,0.022522415,0.017480562,0.024923656,0.025421373,0.027262849,0.02759301,0.028448268,0.029045046,0.025753648,0.023744372,0.021083383,0.028706594
