A,tau,alpha,offset,alpha_err,r2_kww,delta_alpha,backend,signal,n_points,r2_exp,analysis,mean_delta_frac,mean_ler
0.21592448873331824,0.0452043721512041,2.9635120721714276,0.3837798520023079,0.0,0.02167823553033843,1.6301787388380944,ibm_brisbane,T1_avg,126,0.02167841262868342,Signal1_14day,,
0.07322211183123507,26.603020581124465,2.999999747551412,0.42707192593161336,20.47754611829915,0.008414421546212969,1.666666414218079,ibm_brisbane,T2_avg,126,0.003939079594707406,Signal1_14day,,
0.16993452238360657,0.06760401455271725,2.9479187336174326,0.39124325504007984,0.0,0.012330136508520995,1.6145854002840994,ibm_brisbane,T1_probe,126,0.012330136998942365,Signal1_14day,,
0.08490162483168452,25.689755500979153,2.9999993681844885,0.3417998988765576,15.17977422219722,0.015408855164489199,1.6666660348511553,ibm_brisbane,T2_probe,126,0.009053896760580216,Signal1_14day,,
0.27523678231176263,3.76585806192924,2.9381841449396613,0.3985457857262897,1755365.2946508024,0.0347580698574369,1.604850811606328,ibm_kyoto,T1_avg,126,0.03452587402080476,Signal1_14day,,
0.014755003630726626,23.119908584531984,2.9999373114779764,0.4470921249114112,118.44601913139887,0.0002717383544901253,1.6666039781446431,ibm_kyoto,T2_avg,126,-5.995204332975845e-15,Signal1_14day,,
0.2812933245186335,0.3326855858613964,2.655932251649295,0.4278695571464297,0.0,0.042037772149217,1.3225989183159619,ibm_kyoto,T1_probe,126,0.04203777211245252,Signal1_14day,,
0.02878713603868031,24.682940350973098,2.999999958832995,0.343642126765558,47.37100156381321,0.0016416665941537678,1.6666666254996618,ibm_kyoto,T2_probe,126,5.883801859174476e-06,Signal1_14day,,
0.36076560291289045,0.13905140235683494,2.459479166054164,0.4476378821016046,0.0,0.04943028827691265,1.126145832720831,ibm_osaka,T1_avg,126,0.04943028487893153,Signal1_14day,,
0.14136253017446979,30.46174391301895,2.9999999999990035,0.3973567795936972,9.685340912179122,0.034057755902701436,1.6666666666656702,ibm_osaka,T2_avg,126,0.01932942637186863,Signal1_14day,,
0.3450145750400976,0.012626760626694128,2.879712092004149,0.4283226350485483,0.0,0.05067230973030723,1.5463787586708155,ibm_osaka,T1_probe,126,0.05067230959903468,Signal1_14day,,
0.1154459365846184,29.680184012785222,2.999999937885989,0.3531094446565261,13.211385923370347,0.019235470634898832,1.666666604552656,ibm_osaka,T2_probe,126,0.007919279995790118,Signal1_14day,,
0.055823791472142385,9.18756352646851,2.9999991194589817,0.32037527632433954,37.08020151246713,0.0018983133144145903,1.6666657861256484,ibm_brisbane,dT1,126,0.0011419192787117671,Signal2_probe_deploy,0.002411916788507828,
9.143205743825973e-13,2.769586620268637,1.7593653499098028,0.3070993296575473,0.0,-8.237854842718662e-14,0.4260320165764695,ibm_brisbane,dT2,126,-4.440892098500626e-15,Signal2_probe_deploy,-0.006362499452699861,
0.06986435603287368,7.335058579460584,2.9999999982625596,0.2650243511326373,17.62108272162025,0.00410778789767019,1.6666666649292263,ibm_kyoto,dT1,126,8.336819807031048e-05,Signal2_probe_deploy,-0.0001030334376858146,
0.10012245394676927,6.818391527692097,2.11500228929062,0.333826472052957,11.204301412163064,0.005358271702211481,0.7816689559572867,ibm_kyoto,dT2,126,0.005074850751962345,Signal2_probe_deploy,0.00589337210424708,
5.5453110264600446e-14,0.34647152100719336,1.9928489118151038,0.2000951008415712,0.0,-1.4925838343060605e-12,0.6595155784817706,ibm_osaka,dT1,126,1.1102230246251565e-16,Signal2_probe_deploy,-0.009081007217232507,
0.09513431114930643,5.28839431313309,1.0514792591916489,0.23631892080753705,7.402530468742213,0.006478819855507911,0.2818540741416844,ibm_osaka,dT2,126,0.0064769540644394885,Signal2_probe_deploy,-0.022474795468834106,
5.620717018891879e-10,494.36842303165935,2.9999999999999063,0.3975811620434104,0.0,-5.329070518200751e-15,1.666666666666573,ibm_brisbane,T1,252,-2.220446049250313e-16,Signal4_cal_decay,,
0.2105140613369546,477.5888603605648,0.10000187678898963,0.31574475120586804,122.79052176674482,0.0007983626888861117,1.2333314565443436,ibm_brisbane,T2,252,0.0010382915585354091,Signal4_cal_decay,,
1.4054018721150388,53.65759177596705,2.9999999999999996,-0.9999993405509561,76.96990631897175,0.00040535022193999293,1.6666666666666663,ibm_kyoto,T1,252,-7.960521131167297e-11,Signal4_cal_decay,,
1.3705394508717592,38.34032425845681,2.9999999999999996,-0.9999999952303151,21.756862669080235,0.005011288387776092,1.6666666666666663,ibm_kyoto,T2,252,2.2083981952025766e-06,Signal4_cal_decay,,
1.454829706772383,40.75497198826537,2.9999999999999996,-0.9999994069946216,36.10915065660691,0.0022658776343503773,1.6666666666666663,ibm_osaka,T1,252,0.00043893797621152864,Signal4_cal_decay,,
0.1312012475348519,1.3832405638807903,2.9999999999999996,0.4162936899518932,9.079337564843893,0.010819618537469822,1.6666666666666663,ibm_osaka,T2,252,-1.6460033336329616e-10,Signal4_cal_decay,,
5.963615930441624e-11,116.19432115798477,0.10000000250156657,0.19891279476528426,0.0,-4.179323553898939e-12,1.2333333308317667,ibm_brisbane,LER_d3,84,-2.6645352591003757e-14,Signal5_LER,,0.0005716408884763253
3.3780443048768313e-09,0.03429396841017418,2.9998143261919132,0.04126282675909351,0.0,-3.507998336260698e-10,1.66648099285858,ibm_brisbane,LER_d5,84,0.0,Signal5_LER,,0.00010715080502570211
0.021005864890413124,59.83050506606197,2.9999937319073884,0.2799324946861242,58.32307899287389,0.0007353691513121152,1.6666603985740551,ibm_kyoto,LER_d3,84,0.0002687028891060761,Signal5_LER,,0.00037579327465831126
1.1715089381178618e-13,0.223754973275182,2.8853986241139014,0.014287859782338073,0.0,-2.886579864025407e-13,1.552065290780568,ibm_kyoto,LER_d5,84,-1.1367351504532053e-11,Signal5_LER,,0.00010039210562418404
1.79296516630748e-15,178.10396175406123,0.10118773924039795,0.22820256205743172,0.0,-2.220446049250313e-16,1.2321455940929353,ibm_osaka,LER_d3,84,-2.1154189511207733e-12,Signal5_LER,,0.0005133885803208877
8.10048356162307e-13,0.7229240857807386,2.669973210177647,0.0774786678447218,0.0,-9.340306306171442e-12,1.3366398768443137,ibm_osaka,LER_d5,84,-1.7763568394002505e-15,Signal5_LER,,0.00010741949787005758
0.5873282218623636,0.10000000000015638,0.10000000000000002,0.3896561462561319,2.4456625464342436,0.332770147871459,1.2333333333333332,ibm_brisbane,ACF_T1_avg,14,0.3609240536685495,ACF,,
0.8073866149597877,0.8602008844805281,2.9999999996858895,0.19261451837248783,6230.943669004789,0.6156128780660471,1.6666666663525562,ibm_brisbane,ACF_T2_avg,22,0.6109167528483486,ACF,,
1.0237070970761828,99.9999949295792,0.10000000000000002,-0.027091860803834782,1.9259693086497547,0.34434660368679015,1.2333333333333332,ibm_kyoto,ACF_T1_avg,16,0.20958000028698298,ACF,,
0.7527502075182809,0.8148366386827186,2.9352589995502982,0.24724985294595334,19684.954607375115,0.6840162106798555,1.601925666216965,ibm_kyoto,ACF_T2_avg,21,0.682946554112737,ACF,,
0.7709379742861062,0.6964913547263014,1.2397355032070787,0.22895723385797564,2.6313780035617955,0.6877811725556664,0.09359783012625456,ibm_osaka,ACF_T2_avg,21,0.6872448841239218,ACF,,
